gqm_ref,framework,standard_id,standard_title,evidence_kind,goal_statement,status
GQM-ISO-019,ISO27001:2022,A.5.19,Information Security in Supplier Relationships,SupplierThirdPartyEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.19 - Information Security in Supplier Relationships within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-002,ISO27001:2022,A.5.2,Information Security Roles and Responsibilities,GovernanceDecisionEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.2 - Information Security Roles and Responsibilities within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-020,ISO27001:2022,A.5.20,Addressing Information Security Within Supplier Agreements,SupplierThirdPartyEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.20 - Addressing Information Security Within Supplier Agreements within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-021,ISO27001:2022,A.5.21,Managing Information Security in the ICT Supply Chain,SupplierThirdPartyEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.21 - Managing Information Security in the ICT Supply Chain within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-022,ISO27001:2022,A.5.22,"Monitoring, Review and Change Management of Supplier Services",SupplierThirdPartyEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.22 - Monitoring, Review and Change Management of Supplier Services within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-023,ISO27001:2022,A.5.23,Information Security for Use of Cloud Services,SupplierThirdPartyEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.23 - Information Security for Use of Cloud Services within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-024,ISO27001:2022,A.5.24,Information Security Incident Management Planning and Preparation,IncidentResponseEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.24 - Information Security Incident Management Planning and Preparation within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-025,ISO27001:2022,A.5.25,Assessment and Decision on Information Security Events,IncidentResponseEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.25 - Assessment and Decision on Information Security Events within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-026,ISO27001:2022,A.5.26,Response to Information Security Incidents,IncidentResponseEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.26 - Response to Information Security Incidents within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-027,ISO27001:2022,A.5.27,Learning From Information Security Incidents,IncidentResponseEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.27 - Learning From Information Security Incidents within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-028,ISO27001:2022,A.5.28,Collection of Evidence,IncidentResponseEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.28 - Collection of Evidence within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-029,ISO27001:2022,A.5.29,Information Security During Disruption,ContinuityResilienceEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.29 - Information Security During Disruption within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-003,ISO27001:2022,A.5.3,Segregation of Duties,IdentityAccessEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.3 - Segregation of Duties within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-030,ISO27001:2022,A.5.30,ICT Readiness for Business Continuity,ContinuityResilienceEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.30 - ICT Readiness for Business Continuity within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-031,ISO27001:2022,A.5.31,"Legal, Statutory, Regulatory and Contractual Requirements",ComplianceAuditEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.31 - Legal, Statutory, Regulatory and Contractual Requirements within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-032,ISO27001:2022,A.5.32,Intellectual Property Rights,ComplianceAuditEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.32 - Intellectual Property Rights within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-033,ISO27001:2022,A.5.33,Protection of Records,PrivacyDataProtectionEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.33 - Protection of Records within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-034,ISO27001:2022,A.5.34,Privacy and Protection of PII,PrivacyDataProtectionEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.34 - Privacy and Protection of PII within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-035,ISO27001:2022,A.5.35,Independent Review of Information Security,ComplianceAuditEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.35 - Independent Review of Information Security within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-036,ISO27001:2022,A.5.36,"Compliance With Policies, Rules and Standards for Information Security",ComplianceAuditEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.36 - Compliance With Policies, Rules and Standards for Information Security within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-037,ISO27001:2022,A.5.37,Documented Operating Procedures,PolicyProcedureEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.37 - Documented Operating Procedures within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-004,ISO27001:2022,A.5.4,Management Responsibilities,GovernanceDecisionEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.4 - Management Responsibilities within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-005,ISO27001:2022,A.5.5,Contact With Authorities,GovernanceDecisionEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.5 - Contact With Authorities within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-006,ISO27001:2022,A.5.6,Contact With Special Interest Groups,GovernanceDecisionEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.6 - Contact With Special Interest Groups within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-007,ISO27001:2022,A.5.7,Threat Intelligence,RiskAssessmentEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.7 - Threat Intelligence within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-008,ISO27001:2022,A.5.8,Information Security in Project Management,GovernanceDecisionEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.8 - Information Security in Project Management within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-009,ISO27001:2022,A.5.9,Inventory of Information and Other Associated Assets,AssetInventoryEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.5.9 - Inventory of Information and Other Associated Assets within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-038,ISO27001:2022,A.6.1,Screening,PersonnelSecurityEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.6.1 - Screening within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-039,ISO27001:2022,A.6.2,Terms and Conditions of Employment,PersonnelSecurityEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.6.2 - Terms and Conditions of Employment within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-040,ISO27001:2022,A.6.3,"Information Security Awareness, Education and Training",TrainingAwarenessEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.6.3 - Information Security Awareness, Education and Training within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-041,ISO27001:2022,A.6.4,Disciplinary Process,PersonnelSecurityEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.6.4 - Disciplinary Process within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-042,ISO27001:2022,A.6.5,Responsibilities After Termination or Change of Employment,PersonnelSecurityEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.6.5 - Responsibilities After Termination or Change of Employment within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-043,ISO27001:2022,A.6.6,Confidentiality or Non-Disclosure Agreements,PersonnelSecurityEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.6.6 - Confidentiality or Non-Disclosure Agreements within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-044,ISO27001:2022,A.6.7,Remote Working,PersonnelSecurityEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.6.7 - Remote Working within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-045,ISO27001:2022,A.6.8,Information Security Event Reporting,IncidentResponseEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.6.8 - Information Security Event Reporting within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-046,ISO27001:2022,A.7.1,Physical Security Perimeters,PhysicalSecurityEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.7.1 - Physical Security Perimeters within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-055,ISO27001:2022,A.7.10,Storage Media,PrivacyDataProtectionEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.7.10 - Storage Media within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-056,ISO27001:2022,A.7.11,Supporting Utilities,ContinuityResilienceEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.7.11 - Supporting Utilities within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-057,ISO27001:2022,A.7.12,Cabling Security,PhysicalSecurityEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.7.12 - Cabling Security within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-058,ISO27001:2022,A.7.13,Equipment Maintenance,PhysicalSecurityEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.7.13 - Equipment Maintenance within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-059,ISO27001:2022,A.7.14,Secure Disposal or Re-Use of Equipment,AssetInventoryEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.7.14 - Secure Disposal or Re-Use of Equipment within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-047,ISO27001:2022,A.7.2,Physical Entry,PhysicalSecurityEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.7.2 - Physical Entry within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-048,ISO27001:2022,A.7.3,"Securing Offices, Rooms and Facilities",PhysicalSecurityEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.7.3 - Securing Offices, Rooms and Facilities within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-049,ISO27001:2022,A.7.4,Physical Security Monitoring,PhysicalSecurityEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.7.4 - Physical Security Monitoring within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-050,ISO27001:2022,A.7.5,Protecting Against Physical and Environmental Threats,PhysicalSecurityEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.7.5 - Protecting Against Physical and Environmental Threats within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-051,ISO27001:2022,A.7.6,Working In Secure Areas,PhysicalSecurityEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.7.6 - Working In Secure Areas within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-052,ISO27001:2022,A.7.7,Clear Desk and Clear Screen,PhysicalSecurityEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.7.7 - Clear Desk and Clear Screen within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-053,ISO27001:2022,A.7.8,Equipment Siting and Protection,PhysicalSecurityEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.7.8 - Equipment Siting and Protection within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-054,ISO27001:2022,A.7.9,Security of Assets Off-Premises,PhysicalSecurityEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.7.9 - Security of Assets Off-Premises within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-060,ISO27001:2022,A.8.1,User Endpoint Devices,PlatformConfigurationEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.8.1 - User Endpoint Devices within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-069,ISO27001:2022,A.8.10,Information Deletion,PrivacyDataProtectionEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.8.10 - Information Deletion within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-070,ISO27001:2022,A.8.11,Data Masking,PrivacyDataProtectionEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.8.11 - Data Masking within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-071,ISO27001:2022,A.8.12,Data Leakage Prevention,PrivacyDataProtectionEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.8.12 - Data Leakage Prevention within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-072,ISO27001:2022,A.8.13,Information Backup,ContinuityResilienceEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.8.13 - Information Backup within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-073,ISO27001:2022,A.8.14,Redundancy of Information Processing Facilities,ContinuityResilienceEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.8.14 - Redundancy of Information Processing Facilities within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-074,ISO27001:2022,A.8.15,Logging,MonitoringDetectionEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.8.15 - Logging within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-075,ISO27001:2022,A.8.16,Monitoring Activities,MonitoringDetectionEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.8.16 - Monitoring Activities within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-076,ISO27001:2022,A.8.17,Clock Synchronization,PlatformConfigurationEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.8.17 - Clock Synchronization within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-077,ISO27001:2022,A.8.18,Use of Privileged Utility Programs,IdentityAccessEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.8.18 - Use of Privileged Utility Programs within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-078,ISO27001:2022,A.8.19,Installation of Software on Operational Systems,PlatformConfigurationEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.8.19 - Installation of Software on Operational Systems within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-061,ISO27001:2022,A.8.2,Privileged Access Rights,IdentityAccessEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.8.2 - Privileged Access Rights within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-079,ISO27001:2022,A.8.20,Network Security,NetworkSecurityEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.8.20 - Network Security within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-080,ISO27001:2022,A.8.21,Security of Network Services,NetworkSecurityEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.8.21 - Security of Network Services within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-081,ISO27001:2022,A.8.22,Segregation of Networks,NetworkSecurityEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.8.22 - Segregation of Networks within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-082,ISO27001:2022,A.8.23,Web Filtering,NetworkSecurityEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.8.23 - Web Filtering within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-083,ISO27001:2022,A.8.24,Use of Cryptography,PrivacyDataProtectionEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.8.24 - Use of Cryptography within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-084,ISO27001:2022,A.8.25,Secure Development Life Cycle,SecureDevelopmentEvidence,"Assess whether traceable, provenance-supported evidence demonstrates the implementation or satisfaction of ISO27001:2022 A.8.25 - Secure Development Life Cycle within the declared R1 evidence scope, while keeping quantitative measurement claims limited to metrics with a direct semantic role.",R1_FINAL_POST_ADJUDICATION_MAPPING
