event_type,event_label,family_7class,victim_device,victim_source
dos-syn_flood,DoS-SYN_Flood,DoS,GoSund Smart plug WP2 (3),official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,GoSund Smart Plug WP3 (1),official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,Gosund Smart Plug WP3 (2),official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,GoSund Smart plug WP2 (1),official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,HeimVision SmartLife Radio/Lamp,official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,Home Eye Camera,official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,LampUX RGB,official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,LIFX Lightbulb,official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,Lumiman bulb,official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,Luohe Cam Dog,official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,Netatmo Camera,official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,Rbcior Camera,official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,SmartThings Hub,official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,TP-Link Tapo Camera,official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,Teckin Light Strip,official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,Teckin Plug 1,official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,Teckin Plug 2,official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,Wemo smart plug 1 (Wemo id: Wemo.Mini.AD3),official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,Yutron Plug 1,official_victims_pdf
dos-syn_flood,DoS-SYN_Flood,DoS,Yutron Plug 2,official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,AeoTec Smart Home Hub,official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,Amazon Alexa Echo Dot 1,official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,Amazon Alexa Echo Spot,official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,AMCREST WiFi Camera,official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,DCS8000LHA1 D-Link Mini Camera,official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,Globe Lamp ESP_B1680C,official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,Google Nest Mini Speaker,official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,GoSund Bulb,official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,Gosund Power strip (1),official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,GoSund Power strip (2),official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,GoSund Smart plug WP2 (1),official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,GoSund Smart Plug WP2 (2),official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,GoSund Smart plug WP2 (3),official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,GoSund Smart Plug WP3 (1),official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,Gosund Smart Plug WP3 (2),official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,HeimVision SmartLife Radio/Lamp,official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,Home Eye Camera,official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,iRobot Roomba,official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,LampUX RGB,official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,LIFX Lightbulb,official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,Lumiman bulb,official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,Luohe Cam Dog,official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,Netatmo Camera,official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,SIMCAM 1S (AMPAKTec),official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,SmartThings Hub,official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,Sonos One Speaker,official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,TP-Link Tapo Camera,official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,Teckin Plug1,official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,Teckin Light Strip,official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,Teckin Plug 2,official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,Yutron Plug 1,official_victims_pdf
dos-tcp_flood,DoS-TCP_Flood,DoS,Yutron Plug 2,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Amazon Echo Show,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Amazon Alexa Echo Spot,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Amazon Plug,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,AMCREST WiFi Camera,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Arlo Q Indoor Camera,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Borun/Sichuan-AI Camera,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Cocoon Smart HVAC Fan,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,DCS8000LHA1 D-Link Mini Camera,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Globe Lamp ESP_B1680C,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Google Nest Mini Speaker,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,GoSund Bulb,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,GoSund Power strip (2),official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Gosund Power strip (1),official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,GoSund Smart plug WP2 (1),official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,GoSund Smart Plug WP2 (2),official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,GoSund Smart Plug WP3 (1),official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Gosund Smart Plug WP3 (2),official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,GoSund Smart plug WP2 (3),official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Govee Smart Humidifer,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,HeimVision Smart WiFi Camera,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,HeimVision SmartLife Radio/Lamp,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,harman kardon (Ampak Technology),official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Home Eye Camera,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,LampUX RGB,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Levoit Air Purifier,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,LIFX Lightbulb,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Lumiman bulb,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Luohe Cam Dog,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Netatmo Camera,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Rbcior Camera,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,SIMCAM 1S (AMPAKTec),official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,SmartThings Hub,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Sonos One Speaker,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,TP-Link Tapo Camera,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Teckin Light Strip,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Teckin Plug 1,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Teckin Plug 2,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Wemo smart plug 1,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Wemo smart plug 2,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Wyze Camera,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Yi Indoor Camera,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Yi Indoor 2 Camera,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Yi Outdoor Camera,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Yutron Plug 1,official_victims_pdf
dos-udp_flood,DoS-UDP_Flood,DoS,Yutron Plug 2,official_victims_pdf
backdoor_malware,Backdoor_Malware,Web,RaspberryPi (DC:A6:32:C9:E6:F4),official_victims_pdf
backdoor_malware,Backdoor_Malware,Web,RaspberryPi (DC:A6:32:C9:E4:C6),official_victims_pdf
backdoor_malware,Backdoor_Malware,Web,RaspberryPi (DC:A6:32:C9:E5:02),official_victims_pdf
browserhijacking,BrowserHijacking,Web,RaspberryPi (DC:A6:32:C9:E6:F4),official_victims_pdf
browserhijacking,BrowserHijacking,Web,RaspberryPi (DC:A6:32:C9:E4:C6),official_victims_pdf
browserhijacking,BrowserHijacking,Web,RaspberryPi (DC:A6:32:C9:E5:02),official_victims_pdf
commandinjection,CommandInjection,Web,RaspberryPi (DC:A6:32:C9:E6:F4),official_victims_pdf
commandinjection,CommandInjection,Web,RaspberryPi (DC:A6:32:C9:E4:C6),official_victims_pdf
commandinjection,CommandInjection,Web,RaspberryPi (DC:A6:32:C9:E5:02),official_victims_pdf
sqlinjection,SqlInjection,Web,RaspberryPi (DC:A6:32:C9:E6:F4),official_victims_pdf
sqlinjection,SqlInjection,Web,RaspberryPi (DC:A6:32:C9:E4:C6),official_victims_pdf
sqlinjection,SqlInjection,Web,RaspberryPi (DC:A6:32:C9:E5:02),official_victims_pdf
uploading_attack,Uploading_Attack,Web,RaspberryPi (DC:A6:32:C9:E6:F4),official_victims_pdf
uploading_attack,Uploading_Attack,Web,RaspberryPi (DC:A6:32:C9:E4:C6),official_victims_pdf
uploading_attack,Uploading_Attack,Web,RaspberryPi (DC:A6:32:C9:E5:02),official_victims_pdf
xss,XSS,Web,RaspberryPi (DC:A6:32:C9:E6:F4),official_victims_pdf
xss,XSS,Web,RaspberryPi (DC:A6:32:C9:E4:C6),official_victims_pdf
xss,XSS,Web,RaspberryPi (DC:A6:32:C9:E5:02),official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Amazon Alexa Echo Dot 1,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Amazon Echo Show,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Amazon Alexa Echo Studio,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Amazon Plug,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,AMCREST WiFi Camera,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Arlo Base Station,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Arlo Q Indoor Camera,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Atomi Coffee Maker,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Borun/Sichuan-AI Camera,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Cocoon Smart HVAC Fan,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,DCS8000LHA1 D-Link Mini Camera,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Eufy HomeBase2,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Globe Lamp ESP_B1680C,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Google Nest Mini SpeakerSpeaker,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,GoSund Bulb,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Gosund Power strip (1),official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,GoSund Power strip (2),official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,GoSund Smart plug WP2 (1),official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,GoSund Smart Plug WP2 (2),official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,GoSund Smart plug WP2 (3),official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,GoSund Smart Plug WP3 (1),official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Gosund Smart Plug WP3 (2),official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Govee Smart Humidifer,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,HeimVision Smart WiFi Camera,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,harman kardon (Ampak Technology),official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,HeimVision SmartLife Radio/Lamp,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Home Eye Camera,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,iRobot Roomba,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,LampUX RGB,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Levoit Air Purifier,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,LIFX Lightbulb,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Lumiman,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Nest Indoor Camera,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Netatmo Camera,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Philips Hue Bridge,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,RaspberryPi (DC:A6:32:C9:E6:F4),official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,RaspberryPi (DC:A6:32:C9:E4:C6),official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,RaspberryPi (DC:A6:32:C9:E5:02),official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Rbcior Camera,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Ring Base Station,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,SIMCAM 1S (AMPAKTec),official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Sonos One Speaker,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,TP-Link Tapo Camera,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Teckin Light Strip,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Teckin Plug 1,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Teckin Plug 2,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Wemo smart plug 1 (Wemo id: Wemo.Mini.AD3),official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Wyze Camera,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Yi Indoor 2 Camera,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Yi Indoor Camera,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Yi Outdoor Camera,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Yutron Plug 1,official_victims_pdf
mirai-greeth_flood,Mirai-greeth_flood,Mirai,Yutron Plug 2,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Aeotec Smart Home Hub,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Amazon Alexa Echo Dot 1,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Amazon Echo Show,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Amazon Alexa Echo Spot,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Amazon Alexa Echo Studio,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Amazon Plug,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,AMCREST WiFi Camera,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Arlo Base Station,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Arlo Q Indoor Camera,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Atomi Coffee Maker,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Borun/Sichuan-AI Camera,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Cocoon Smart HVAC Fan,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,DCS8000LHA1 D-Link Mini Camera,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Eufy HomeBase2,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Globe Lamp ESP_B1680C,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Google Nest Mini Speaker,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,GoSund Bulb,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Gosund Power strip (1),official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,GoSund Power strip (2),official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,GoSund Smart plug WP2 (1),official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,GoSund Smart Plug WP2 (2),official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,GoSund Smart plug WP2 (3),official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,GoSund Smart Plug WP3 (1),official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Gosund Smart Plug WP3 (2),official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Govee Smart Humidifier,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,HeimVision Smart WiFi Camera,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,HeimVision SmartLife Radio/Lamp,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,harman kardon (Ampak Technology),official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Home Eye Camera,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,iRobot Roomba,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,LampUX RGB,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Levoit Air Purifier,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,LG Smart TV,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,LIFX Lightbulb,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Lumiman bulb,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Luohe Cam Dog,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Nest Indoor Camera,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Netatmo Camera,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Netatmo Weather Station,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Philips Hue Bridge,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,RaspberryPi (DC:A6:32:C9:E6:F4),official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,RaspberryPi (DC:A6:32:C9:E4:C6),official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,RaspberryPi (DC:A6:32:C9:E5:02),official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Rbcior Camera,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Ring Base Station,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,SIMCAM 1S (AMPAKTec),official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Smart Board,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,SmartThings Hub,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Sonos One Speaker,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,TP-Link Tapo Camera,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Teckin Light Strip,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Teckin Plug 1,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Teckin Plug 2,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Wemo smart plug 1 (Wemo id: Wemo.Mini.AD3),official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Wyze Camera,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Yi Indoor 2 Camera,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Yi Indoor Camera,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Yi Outdoor Camera,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Yutron Plug 1,official_victims_pdf
mirai-greip_flood,Mirai-greip_flood,Mirai,Yutron Plug 2,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,Amazon Alexa Echo Dot 1,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,Amazon Echo Show,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,Amazon Alexa Echo Studio,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,Amazon Plug,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,AMCREST WiFi Camera,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,Arlo Base Station,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,Arlo Q Indoor Camera,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,Atomi Coffee Maker,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,Borun/Sichuan-AI Camera,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,Cocoon Smart HVAC Fan,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,DCS8000LHA1 D-Link Mini Camera,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,Eufy HomeBase2,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,Globe Lamp ESP_B1680C,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,Google Nest Mini Speaker,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,GoSund Bulb,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,Gosund Power strip (1),official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,GoSund Power strip (2),official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,GoSund Smart plug WP2 (1),official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,GoSund Smart Plug WP2 (2),official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,GoSund Smart plug WP2 (3),official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,GoSund Smart Plug WP3 (1),official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,Gosund Smart Plug WP3 (2),official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,Govee Smart Humidifer,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,HeimVision Smart WiFi Camera,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,harman kardon (Ampak Technology),official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,Home Eye Camera,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,iRobot Roomba,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,LampUX RGB,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,Levoit Air Purifier,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,LIFX Lightbulb,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,Lumiman bulb,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,Luohe Cam Dog,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,Nest Indoor Camera,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,Netatmo Camera,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,Philips Hue Bridge,official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,RaspberryPi (DC:A6:32:C9:E6:F4),official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,RaspberryPi (DC:A6:32:C9:E4:C6),official_victims_pdf
mirai-udpplain,Mirai-udpplain,Mirai,RaspberryPi (DC:A6:32:C9:E5:02),official_victims_pdf
