question_id,gqm_ref,framework,standard_id,question_type,metric_id,evidence_kind,question_text,status
GQM-ISO-019-EVID-01,GQM-ISO-019,ISO27001:2022,A.5.19,evidence_first,,SupplierThirdPartyEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.19 - Information Security in Supplier Relationships' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-002-EVID-01,GQM-ISO-002,ISO27001:2022,A.5.2,evidence_first,,GovernanceDecisionEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.2 - Information Security Roles and Responsibilities' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-020-EVID-01,GQM-ISO-020,ISO27001:2022,A.5.20,evidence_first,,SupplierThirdPartyEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.20 - Addressing Information Security Within Supplier Agreements' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-021-EVID-01,GQM-ISO-021,ISO27001:2022,A.5.21,evidence_first,,SupplierThirdPartyEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.21 - Managing Information Security in the ICT Supply Chain' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-022-EVID-01,GQM-ISO-022,ISO27001:2022,A.5.22,evidence_first,,SupplierThirdPartyEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.22 - Monitoring, Review and Change Management of Supplier Services' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-023-EVID-01,GQM-ISO-023,ISO27001:2022,A.5.23,evidence_first,,SupplierThirdPartyEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.23 - Information Security for Use of Cloud Services' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-024-EVID-01,GQM-ISO-024,ISO27001:2022,A.5.24,evidence_first,,IncidentResponseEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.24 - Information Security Incident Management Planning and Preparation' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-025-EVID-01,GQM-ISO-025,ISO27001:2022,A.5.25,evidence_first,,IncidentResponseEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.25 - Assessment and Decision on Information Security Events' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-026-EVID-01,GQM-ISO-026,ISO27001:2022,A.5.26,evidence_first,,IncidentResponseEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.26 - Response to Information Security Incidents' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-027-EVID-01,GQM-ISO-027,ISO27001:2022,A.5.27,evidence_first,,IncidentResponseEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.27 - Learning From Information Security Incidents' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-028-EVID-01,GQM-ISO-028,ISO27001:2022,A.5.28,evidence_first,,IncidentResponseEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.28 - Collection of Evidence' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-029-EVID-01,GQM-ISO-029,ISO27001:2022,A.5.29,evidence_first,,ContinuityResilienceEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.29 - Information Security During Disruption' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-003-EVID-01,GQM-ISO-003,ISO27001:2022,A.5.3,evidence_first,,IdentityAccessEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.3 - Segregation of Duties' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-030-EVID-01,GQM-ISO-030,ISO27001:2022,A.5.30,evidence_first,,ContinuityResilienceEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.30 - ICT Readiness for Business Continuity' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-031-EVID-01,GQM-ISO-031,ISO27001:2022,A.5.31,evidence_first,,ComplianceAuditEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.31 - Legal, Statutory, Regulatory and Contractual Requirements' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-032-EVID-01,GQM-ISO-032,ISO27001:2022,A.5.32,evidence_first,,ComplianceAuditEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.32 - Intellectual Property Rights' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-033-EVID-01,GQM-ISO-033,ISO27001:2022,A.5.33,evidence_first,,PrivacyDataProtectionEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.33 - Protection of Records' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-034-EVID-01,GQM-ISO-034,ISO27001:2022,A.5.34,evidence_first,,PrivacyDataProtectionEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.34 - Privacy and Protection of PII' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-035-EVID-01,GQM-ISO-035,ISO27001:2022,A.5.35,evidence_first,,ComplianceAuditEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.35 - Independent Review of Information Security' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-036-EVID-01,GQM-ISO-036,ISO27001:2022,A.5.36,evidence_first,,ComplianceAuditEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.36 - Compliance With Policies, Rules and Standards for Information Security' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-037-EVID-01,GQM-ISO-037,ISO27001:2022,A.5.37,evidence_first,,PolicyProcedureEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.37 - Documented Operating Procedures' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-004-EVID-01,GQM-ISO-004,ISO27001:2022,A.5.4,evidence_first,,GovernanceDecisionEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.4 - Management Responsibilities' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-005-EVID-01,GQM-ISO-005,ISO27001:2022,A.5.5,evidence_first,,GovernanceDecisionEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.5 - Contact With Authorities' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-006-EVID-01,GQM-ISO-006,ISO27001:2022,A.5.6,evidence_first,,GovernanceDecisionEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.6 - Contact With Special Interest Groups' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-007-EVID-01,GQM-ISO-007,ISO27001:2022,A.5.7,evidence_first,,RiskAssessmentEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.7 - Threat Intelligence' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-007-MET-01,GQM-ISO-007,ISO27001:2022,A.5.7,metric_specific,EP_EXPLOIT,RiskAssessmentEvidence,"For vulnerabilities or threats directly relevant to A.5.7 - Threat Intelligence, what CVSS-based exploitability evidence is available, and what provenance supports the score?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-008-EVID-01,GQM-ISO-008,ISO27001:2022,A.5.8,evidence_first,,GovernanceDecisionEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.8 - Information Security in Project Management' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-009-EVID-01,GQM-ISO-009,ISO27001:2022,A.5.9,evidence_first,,AssetInventoryEvidence,"What traceable evidence demonstrates that the outcome/control 'A.5.9 - Inventory of Information and Other Associated Assets' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-038-EVID-01,GQM-ISO-038,ISO27001:2022,A.6.1,evidence_first,,PersonnelSecurityEvidence,"What traceable evidence demonstrates that the outcome/control 'A.6.1 - Screening' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-039-EVID-01,GQM-ISO-039,ISO27001:2022,A.6.2,evidence_first,,PersonnelSecurityEvidence,"What traceable evidence demonstrates that the outcome/control 'A.6.2 - Terms and Conditions of Employment' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-040-EVID-01,GQM-ISO-040,ISO27001:2022,A.6.3,evidence_first,,TrainingAwarenessEvidence,"What traceable evidence demonstrates that the outcome/control 'A.6.3 - Information Security Awareness, Education and Training' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-040-MET-01,GQM-ISO-040,ISO27001:2022,A.6.3,metric_specific,HF_AWARENESS,TrainingAwarenessEvidence,"For personnel or process behaviour directly relevant to A.6.3 - Information Security Awareness, Education and Training, what observed awareness or security-culture evidence is available, and what provenance supports the observation?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-041-EVID-01,GQM-ISO-041,ISO27001:2022,A.6.4,evidence_first,,PersonnelSecurityEvidence,"What traceable evidence demonstrates that the outcome/control 'A.6.4 - Disciplinary Process' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-042-EVID-01,GQM-ISO-042,ISO27001:2022,A.6.5,evidence_first,,PersonnelSecurityEvidence,"What traceable evidence demonstrates that the outcome/control 'A.6.5 - Responsibilities After Termination or Change of Employment' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-043-EVID-01,GQM-ISO-043,ISO27001:2022,A.6.6,evidence_first,,PersonnelSecurityEvidence,"What traceable evidence demonstrates that the outcome/control 'A.6.6 - Confidentiality or Non-Disclosure Agreements' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-044-EVID-01,GQM-ISO-044,ISO27001:2022,A.6.7,evidence_first,,PersonnelSecurityEvidence,"What traceable evidence demonstrates that the outcome/control 'A.6.7 - Remote Working' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-045-EVID-01,GQM-ISO-045,ISO27001:2022,A.6.8,evidence_first,,IncidentResponseEvidence,"What traceable evidence demonstrates that the outcome/control 'A.6.8 - Information Security Event Reporting' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-046-EVID-01,GQM-ISO-046,ISO27001:2022,A.7.1,evidence_first,,PhysicalSecurityEvidence,"What traceable evidence demonstrates that the outcome/control 'A.7.1 - Physical Security Perimeters' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-055-EVID-01,GQM-ISO-055,ISO27001:2022,A.7.10,evidence_first,,PrivacyDataProtectionEvidence,"What traceable evidence demonstrates that the outcome/control 'A.7.10 - Storage Media' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-056-EVID-01,GQM-ISO-056,ISO27001:2022,A.7.11,evidence_first,,ContinuityResilienceEvidence,"What traceable evidence demonstrates that the outcome/control 'A.7.11 - Supporting Utilities' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-057-EVID-01,GQM-ISO-057,ISO27001:2022,A.7.12,evidence_first,,PhysicalSecurityEvidence,"What traceable evidence demonstrates that the outcome/control 'A.7.12 - Cabling Security' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-058-EVID-01,GQM-ISO-058,ISO27001:2022,A.7.13,evidence_first,,PhysicalSecurityEvidence,"What traceable evidence demonstrates that the outcome/control 'A.7.13 - Equipment Maintenance' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-059-EVID-01,GQM-ISO-059,ISO27001:2022,A.7.14,evidence_first,,AssetInventoryEvidence,"What traceable evidence demonstrates that the outcome/control 'A.7.14 - Secure Disposal or Re-Use of Equipment' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-047-EVID-01,GQM-ISO-047,ISO27001:2022,A.7.2,evidence_first,,PhysicalSecurityEvidence,"What traceable evidence demonstrates that the outcome/control 'A.7.2 - Physical Entry' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-048-EVID-01,GQM-ISO-048,ISO27001:2022,A.7.3,evidence_first,,PhysicalSecurityEvidence,"What traceable evidence demonstrates that the outcome/control 'A.7.3 - Securing Offices, Rooms and Facilities' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-049-EVID-01,GQM-ISO-049,ISO27001:2022,A.7.4,evidence_first,,PhysicalSecurityEvidence,"What traceable evidence demonstrates that the outcome/control 'A.7.4 - Physical Security Monitoring' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-050-EVID-01,GQM-ISO-050,ISO27001:2022,A.7.5,evidence_first,,PhysicalSecurityEvidence,"What traceable evidence demonstrates that the outcome/control 'A.7.5 - Protecting Against Physical and Environmental Threats' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-051-EVID-01,GQM-ISO-051,ISO27001:2022,A.7.6,evidence_first,,PhysicalSecurityEvidence,"What traceable evidence demonstrates that the outcome/control 'A.7.6 - Working In Secure Areas' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-052-EVID-01,GQM-ISO-052,ISO27001:2022,A.7.7,evidence_first,,PhysicalSecurityEvidence,"What traceable evidence demonstrates that the outcome/control 'A.7.7 - Clear Desk and Clear Screen' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-053-EVID-01,GQM-ISO-053,ISO27001:2022,A.7.8,evidence_first,,PhysicalSecurityEvidence,"What traceable evidence demonstrates that the outcome/control 'A.7.8 - Equipment Siting and Protection' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-054-EVID-01,GQM-ISO-054,ISO27001:2022,A.7.9,evidence_first,,PhysicalSecurityEvidence,"What traceable evidence demonstrates that the outcome/control 'A.7.9 - Security of Assets Off-Premises' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-060-EVID-01,GQM-ISO-060,ISO27001:2022,A.8.1,evidence_first,,PlatformConfigurationEvidence,"What traceable evidence demonstrates that the outcome/control 'A.8.1 - User Endpoint Devices' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-069-EVID-01,GQM-ISO-069,ISO27001:2022,A.8.10,evidence_first,,PrivacyDataProtectionEvidence,"What traceable evidence demonstrates that the outcome/control 'A.8.10 - Information Deletion' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-070-EVID-01,GQM-ISO-070,ISO27001:2022,A.8.11,evidence_first,,PrivacyDataProtectionEvidence,"What traceable evidence demonstrates that the outcome/control 'A.8.11 - Data Masking' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-071-EVID-01,GQM-ISO-071,ISO27001:2022,A.8.12,evidence_first,,PrivacyDataProtectionEvidence,"What traceable evidence demonstrates that the outcome/control 'A.8.12 - Data Leakage Prevention' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-072-EVID-01,GQM-ISO-072,ISO27001:2022,A.8.13,evidence_first,,ContinuityResilienceEvidence,"What traceable evidence demonstrates that the outcome/control 'A.8.13 - Information Backup' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-073-EVID-01,GQM-ISO-073,ISO27001:2022,A.8.14,evidence_first,,ContinuityResilienceEvidence,"What traceable evidence demonstrates that the outcome/control 'A.8.14 - Redundancy of Information Processing Facilities' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-074-EVID-01,GQM-ISO-074,ISO27001:2022,A.8.15,evidence_first,,MonitoringDetectionEvidence,"What traceable evidence demonstrates that the outcome/control 'A.8.15 - Logging' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-074-MET-01,GQM-ISO-074,ISO27001:2022,A.8.15,metric_specific,EP_FREQ,MonitoringDetectionEvidence,"For monitored events directly relevant to A.8.15 - Logging, what event frequency is observed over the declared measurement window, and what provenance identifies the source and window?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-075-EVID-01,GQM-ISO-075,ISO27001:2022,A.8.16,evidence_first,,MonitoringDetectionEvidence,"What traceable evidence demonstrates that the outcome/control 'A.8.16 - Monitoring Activities' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-075-MET-01,GQM-ISO-075,ISO27001:2022,A.8.16,metric_specific,DR,MonitoringDetectionEvidence,"When a detector is explicitly used as evidence for A.8.16 - Monitoring Activities, what detection rate is observed at the declared operating point, and on which evaluation set?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-075-MET-02,GQM-ISO-075,ISO27001:2022,A.8.16,metric_specific,EP_FREQ,MonitoringDetectionEvidence,"For monitored events directly relevant to A.8.16 - Monitoring Activities, what event frequency is observed over the declared measurement window, and what provenance identifies the source and window?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-075-MET-03,GQM-ISO-075,ISO27001:2022,A.8.16,metric_specific,FPR,MonitoringDetectionEvidence,"When a detector is explicitly used as evidence for A.8.16 - Monitoring Activities, what false-positive rate is observed at the same operating point, including benign-sample counts?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-076-EVID-01,GQM-ISO-076,ISO27001:2022,A.8.17,evidence_first,,PlatformConfigurationEvidence,"What traceable evidence demonstrates that the outcome/control 'A.8.17 - Clock Synchronization' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-077-EVID-01,GQM-ISO-077,ISO27001:2022,A.8.18,evidence_first,,IdentityAccessEvidence,"What traceable evidence demonstrates that the outcome/control 'A.8.18 - Use of Privileged Utility Programs' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-078-EVID-01,GQM-ISO-078,ISO27001:2022,A.8.19,evidence_first,,PlatformConfigurationEvidence,"What traceable evidence demonstrates that the outcome/control 'A.8.19 - Installation of Software on Operational Systems' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-061-EVID-01,GQM-ISO-061,ISO27001:2022,A.8.2,evidence_first,,IdentityAccessEvidence,"What traceable evidence demonstrates that the outcome/control 'A.8.2 - Privileged Access Rights' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-079-EVID-01,GQM-ISO-079,ISO27001:2022,A.8.20,evidence_first,,NetworkSecurityEvidence,"What traceable evidence demonstrates that the outcome/control 'A.8.20 - Network Security' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-080-EVID-01,GQM-ISO-080,ISO27001:2022,A.8.21,evidence_first,,NetworkSecurityEvidence,"What traceable evidence demonstrates that the outcome/control 'A.8.21 - Security of Network Services' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-081-EVID-01,GQM-ISO-081,ISO27001:2022,A.8.22,evidence_first,,NetworkSecurityEvidence,"What traceable evidence demonstrates that the outcome/control 'A.8.22 - Segregation of Networks' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-082-EVID-01,GQM-ISO-082,ISO27001:2022,A.8.23,evidence_first,,NetworkSecurityEvidence,"What traceable evidence demonstrates that the outcome/control 'A.8.23 - Web Filtering' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-083-EVID-01,GQM-ISO-083,ISO27001:2022,A.8.24,evidence_first,,PrivacyDataProtectionEvidence,"What traceable evidence demonstrates that the outcome/control 'A.8.24 - Use of Cryptography' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-084-EVID-01,GQM-ISO-084,ISO27001:2022,A.8.25,evidence_first,,SecureDevelopmentEvidence,"What traceable evidence demonstrates that the outcome/control 'A.8.25 - Secure Development Life Cycle' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-085-EVID-01,GQM-ISO-085,ISO27001:2022,A.8.26,evidence_first,,SecureDevelopmentEvidence,"What traceable evidence demonstrates that the outcome/control 'A.8.26 - Application Security Requirements' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-086-EVID-01,GQM-ISO-086,ISO27001:2022,A.8.27,evidence_first,,SecureDevelopmentEvidence,"What traceable evidence demonstrates that the outcome/control 'A.8.27 - Secure System Architecture and Engineering Principles' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-087-EVID-01,GQM-ISO-087,ISO27001:2022,A.8.28,evidence_first,,SecureDevelopmentEvidence,"What traceable evidence demonstrates that the outcome/control 'A.8.28 - Secure Coding' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-088-EVID-01,GQM-ISO-088,ISO27001:2022,A.8.29,evidence_first,,SecureDevelopmentEvidence,"What traceable evidence demonstrates that the outcome/control 'A.8.29 - Security Testing in Development and Acceptance' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
GQM-ISO-062-EVID-01,GQM-ISO-062,ISO27001:2022,A.8.3,evidence_first,,IdentityAccessEvidence,"What traceable evidence demonstrates that the outcome/control 'A.8.3 - Information Access Restriction' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",R1_FINAL_POST_ADJUDICATION_MAPPING
