framework,id,title,gqm_ref,linked_ids,uml_class,metric_ids,evidence_kind,proposed_uml_anchor,recommended_metric_ids,metric_repair_action,olir_exact_set,R1_Count,OLIR218_Count,Overlap_Count,semantic_review_status,evidence_question,independent_review_sampled,final_review_decision,final_metric_fit,final_uml_fit,final_crosswalk_fit,final_review_action,post_review_implementation_status,post_review_note
ISO27001:2022,A.5.19,Information Security in Supplier Relationships,GQM-ISO-019,GV.SC-01;GV.SC-04;GV.SC-05;GV.SC-07;GV.SC-10,HumanFactorMetric,HF_AWARENESS;TCO_3Y,SupplierThirdPartyEvidence,EvidenceRequirement,,remove_current_metrics,no,5,1,1,INDEPENDENT_FRESH60_MINOR_REVISION,"What traceable evidence demonstrates that the outcome/control 'A.5.19 - Information Security in Supplier Relationships' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",yes,minor_revision,yes,yes,partial,revise_crosswalk,HUMAN_DIRECTED_REPAIR_IMPLEMENTED,Pruned broad governance/asset/risk links to primary supplier-risk relations; Step12K explicitly retained GV.SC-07 (direct) and GV.SC-10 (partial).
ISO27001:2022,A.5.20,Addressing Information Security Within Supplier Agreements,GQM-ISO-020,GV.OC-03;GV.OC-04;GV.SC-01;GV.SC-03;GV.SC-05;GV.SC-06;GV.SC-07;GV.SC-09;GV.SC-10;ID.RA-09;ID.RA-10,HumanFactorMetric,HF_AWARENESS;TCO_3Y,SupplierThirdPartyEvidence,EvidenceRequirement,,remove_current_metrics,no,11,1,1,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.20 - Addressing Information Security Within Supplier Agreements' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.5.21,Managing Information Security in the ICT Supply Chain,GQM-ISO-021,GV.SC-01;GV.SC-03;GV.SC-09;GV.SC-10,HumanFactorMetric,HF_AWARENESS;TCO_3Y,SupplierThirdPartyEvidence,EvidenceRequirement,,remove_current_metrics,no,4,1,1,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.21 - Managing Information Security in the ICT Supply Chain' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.5.22,"Monitoring, Review and Change Management of Supplier Services",GQM-ISO-022,DE.CM-06;GV.SC-01;GV.SC-04;GV.SC-09;GV.SC-10;ID.AM-04;ID.AM-08;ID.RA-02;ID.RA-09;ID.RA-10,HumanFactorMetric,HF_AWARENESS;TCO_3Y,SupplierThirdPartyEvidence,EvidenceRequirement,,remove_current_metrics,no,10,1,0,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.22 - Monitoring, Review and Change Management of Supplier Services' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.5.23,Information Security for Use of Cloud Services,GQM-ISO-023,,HumanFactorMetric,HF_AWARENESS;TCO_3Y,SupplierThirdPartyEvidence,EvidenceRequirement,,remove_current_metrics,no,0,1,0,INDEPENDENT_FRESH60_ACCEPT,"What traceable evidence demonstrates that the outcome/control 'A.5.23 - Information Security for Use of Cloud Services' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",yes,accept,yes,yes,yes,retain,RETAINED_AFTER_INDEPENDENT_REVIEW,Independent fresh-60 final decision: accept; no semantic change required from the sampled row.
ISO27001:2022,A.5.24,Information Security Incident Management Planning and Preparation,GQM-ISO-024,DE.AE-02;ID.IM-04;RS.MA-02,HumanFactorMetric,HF_AWARENESS;TCO_3Y,IncidentResponseEvidence,EvidenceRequirement,,remove_current_metrics,no,3,1,0,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.24 - Information Security Incident Management Planning and Preparation' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.5.25,Assessment and Decision on Information Security Events,GQM-ISO-025,DE.AE-02;DE.AE-04;DE.AE-08;RS.AN-03;RS.AN-08;RS.MA-03;RS.MA-05,HumanFactorMetric,HF_AWARENESS;TCO_3Y,IncidentResponseEvidence,EvidenceRequirement,,remove_current_metrics,no,7,1,1,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.25 - Assessment and Decision on Information Security Events' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.5.26,Response to Information Security Incidents,GQM-ISO-026,DE.AE-06;DE.AE-08;GV.SC-08;ID.IM-04;RC.CO-03;RC.RP-01;RC.RP-02;RC.RP-05;RS.CO-02;RS.CO-03;RS.MA-01;RS.MA-02;RS.MA-04;RS.MI-01;RS.MI-02,HumanFactorMetric,HF_AWARENESS;TCO_3Y,IncidentResponseEvidence,EvidenceRequirement,,remove_current_metrics,no,15,1,1,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.26 - Response to Information Security Incidents' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.5.27,Learning From Information Security Incidents,GQM-ISO-027,ID.IM-03;ID.IM-04;RC.RP-06;RS.AN-03;RS.MA-01;RS.MA-02,HumanFactorMetric,HF_AWARENESS;TCO_3Y,IncidentResponseEvidence,EvidenceRequirement,,remove_current_metrics,no,6,1,0,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.27 - Learning From Information Security Incidents' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.5.28,Collection of Evidence,GQM-ISO-028,RS.AN-06;RS.AN-07;RS.MA-01;RS.MA-02,HumanFactorMetric,HF_AWARENESS;TCO_3Y,IncidentResponseEvidence,EvidenceRequirement,,remove_current_metrics,no,4,1,1,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.28 - Collection of Evidence' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.5.29,Information Security During Disruption,GQM-ISO-029,PR.IR-03,HumanFactorMetric,HF_AWARENESS;TCO_3Y,ContinuityResilienceEvidence,EvidenceRequirement,,remove_current_metrics,no,1,1,0,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.29 - Information Security During Disruption' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.5.30,ICT Readiness for Business Continuity,GQM-ISO-030,,HumanFactorMetric,HF_AWARENESS;TCO_3Y,ContinuityResilienceEvidence,EvidenceRequirement,,remove_current_metrics,no,0,1,0,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.30 - ICT Readiness for Business Continuity' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.5.31,"Legal, Statutory, Regulatory and Contractual Requirements",GQM-ISO-031,GV.OC-03;GV.OC-04;GV.SC-05;GV.SC-06;GV.SC-07,HumanFactorMetric,HF_AWARENESS;TCO_3Y,ComplianceAuditEvidence,EvidenceRequirement,,remove_current_metrics,no,5,1,0,INDEPENDENT_FRESH60_ACCEPT,"What traceable evidence demonstrates that the outcome/control 'A.5.31 - Legal, Statutory, Regulatory and Contractual Requirements' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",yes,accept,yes,yes,yes,retain,RETAINED_AFTER_INDEPENDENT_REVIEW,Independent fresh-60 final decision: accept; no semantic change required from the sampled row.
ISO27001:2022,A.5.32,Intellectual Property Rights,GQM-ISO-032,,HumanFactorMetric,HF_AWARENESS;TCO_3Y,ComplianceAuditEvidence,EvidenceRequirement,,remove_current_metrics,no,0,1,0,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.32 - Intellectual Property Rights' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.5.33,Protection of Records,GQM-ISO-033,,HumanFactorMetric,HF_AWARENESS;TCO_3Y,PrivacyDataProtectionEvidence,EvidenceRequirement,,remove_current_metrics,no,0,1,0,INDEPENDENT_FRESH60_ACCEPT,"What traceable evidence demonstrates that the outcome/control 'A.5.33 - Protection of Records' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",yes,accept,yes,yes,yes,retain,RETAINED_AFTER_INDEPENDENT_REVIEW,Independent fresh-60 final decision: accept; no semantic change required from the sampled row.
ISO27001:2022,A.5.34,Privacy and Protection of PII,GQM-ISO-034,,HumanFactorMetric,HF_AWARENESS;TCO_3Y,PrivacyDataProtectionEvidence,EvidenceRequirement,,remove_current_metrics,no,0,1,0,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.34 - Privacy and Protection of PII' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.5.35,Independent Review of Information Security,GQM-ISO-035,ID.IM-01;ID.IM-02,HumanFactorMetric,HF_AWARENESS;TCO_3Y,ComplianceAuditEvidence,EvidenceRequirement,,remove_current_metrics,no,2,1,0,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.35 - Independent Review of Information Security' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.5.36,"Compliance With Policies, Rules and Standards for Information Security",GQM-ISO-036,,HumanFactorMetric,HF_AWARENESS;TCO_3Y,ComplianceAuditEvidence,EvidenceRequirement,,remove_current_metrics,no,0,1,0,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.36 - Compliance With Policies, Rules and Standards for Information Security' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.5.37,Documented Operating Procedures,GQM-ISO-037,,HumanFactorMetric,HF_AWARENESS;TCO_3Y,PolicyProcedureEvidence,EvidenceRequirement,,remove_current_metrics,no,0,1,0,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.5.37 - Documented Operating Procedures' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.6.1,Screening,GQM-ISO-038,GV.RR-04;PR.DS-01;PR.DS-02,HumanFactorMetric,HF_AWARENESS;DR,PersonnelSecurityEvidence,EvidenceRequirement,,remove_current_metrics,no,3,1,0,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.6.1 - Screening' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
ISO27001:2022,A.6.2,Terms and Conditions of Employment,GQM-ISO-039,GV.RR-04,HumanFactorMetric,HF_AWARENESS;DR,PersonnelSecurityEvidence,EvidenceRequirement,,remove_current_metrics,no,1,1,0,INDEPENDENT_FRESH60_MINOR_REVISION,"What traceable evidence demonstrates that the outcome/control 'A.6.2 - Terms and Conditions of Employment' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",yes,minor_revision,yes,yes,partial,revise_crosswalk,HUMAN_DIRECTED_REPAIR_IMPLEMENTED,"Removed indirect PR.DS-01/02/10 links; retained GV.RR-04. No exact PR.AT subcategory was human-specified, so none was invented post hoc."
ISO27001:2022,A.6.3,"Information Security Awareness, Education and Training",GQM-ISO-040,GV.RR-04;PR.AT-01;PR.AT-02,HumanFactorMetric,HF_AWARENESS;DR,TrainingAwarenessEvidence,EvidenceRequirement,HF_AWARENESS,partial_replace,no,3,1,1,NOT_IN_FRESH60_INDEPENDENT_SAMPLE,"What traceable evidence demonstrates that the outcome/control 'A.6.3 - Information Security Awareness, Education and Training' is implemented or satisfied within the declared scope, and what provenance supports that evidence?",no,not_sampled,not_sampled,not_sampled,not_sampled,not_sampled,AUTHOR_QA_NOT_INDEPENDENTLY_SAMPLED,Not part of the fresh-60 independent semantic sample; structural/reciprocal updates may reflect human-directed changes from sampled endpoints.
